ModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease
ACH-000883,909750.0,SW 1783,CNS/Brain,Diffuse Glioma
ACH-000885,1240222.0,TOV-21G,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000886,724873.0,NCI-H2009,Lung,Non-Small Cell Lung Cancer
ACH-000888,908463.0,NCI-H1793,Lung,Non-Small Cell Lung Cancer
ACH-000890,1299062.0,SW 1271,Lung,SMARCA4-deficient undifferentiated tumor
ACH-000892,753600.0,NCI-H1563,Lung,Non-Small Cell Lung Cancer
ACH-000893,910900.0,NCI-H1651,Lung,Non-Small Cell Lung Cancer
ACH-000894,1240183.0,NCI-H1869,Lung,Non-Small Cell Lung Cancer
ACH-000896,906797.0,647-V,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000900,905942.0,NCI-H23,Lung,Non-Small Cell Lung Cancer
ACH-000902,924106.0,CAL-148,Breast,Invasive Breast Carcinoma
ACH-000903,906864.0,FTC-133,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000905,687452.0,5637,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000906,1240128.0,ES-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000910,908122.0,MDA-MB-453,Breast,Invasive Breast Carcinoma
ACH-000911,908455.0,NUGC-3,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000913,907000.0,ESS-1,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000914,907063.0,HT,Lymphoid,Mature B-Cell Neoplasms
ACH-000915,907171.0,IPC-298,Skin,Melanoma
ACH-000916,908472.0,NCI-H1573,Lung,Non-Small Cell Lung Cancer
ACH-000917,1503371.0,TE-4,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000918,908147.0,MOLT-16,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000919,1240155.0,IM95,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000920,910951.0,CML-T1,Myeloid,Myeloproliferative Neoplasms
ACH-000922,1330994.0,RCH-ACV,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000924,1298353.0,NCI-H2172,Lung,Non-Small Cell Lung Cancer
ACH-000926,907287.0,HT-55,Bowel,Colorectal Adenocarcinoma
ACH-000927,946359.0,BT-474,Breast,Invasive Breast Carcinoma
ACH-000929,1298351.0,NCI-H2110,Lung,Non-Small Cell Lung Cancer
ACH-000930,907046.0,HCC1569,Breast,Invasive Breast Carcinoma
ACH-000932,908444.0,SNU-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000934,908121.0,MDA-MB-361,Breast,Invasive Breast Carcinoma
ACH-000935,1240173.0,MDST8,Bowel,Colorectal Adenocarcinoma
ACH-000936,906852.0,EFO-27,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000937,909260.0,PF-382,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000938,908158.0,NALM-6,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000939,909732.0,SK-UT-1,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000940,910781.0,AN3 CA,Uterus,Endometrial Carcinoma
ACH-000943,909698.0,RKO,Bowel,Colorectal Adenocarcinoma
ACH-000944,908159.0,NAMALWA,Lymphoid,Mature B-Cell Neoplasms
ACH-000945,722066.0,NCI-H650,Lung,Non-Small Cell Lung Cancer
ACH-000947,1480371.0,OVK18,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000948,910924.0,23132/87,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000949,909770.0,TGBC11TKB,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000950,907790.0,LoVo,Bowel,Colorectal Adenocarcinoma
ACH-000951,687819.0,NCI-H2342,Lung,Non-Small Cell Lung Cancer
ACH-000953,909743.0,SUP-T1,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000955,1660034.0,SNU-407,Bowel,Colorectal Adenocarcinoma
ACH-000956,924100.0,22Rv1,Prostate,Prostate Adenocarcinoma
ACH-000957,998189.0,LS 180,Bowel,Colorectal Adenocarcinoma
ACH-000958,909751.0,SW48,Bowel,Colorectal Adenocarcinoma
ACH-000960,909696.0,Reh,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000962,909257.0,OC 314,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000963,1240123.0,CCK-81,Bowel,Colorectal Adenocarcinoma
ACH-000965,930082.0,RL95-2,Uterus,Endometrial Carcinoma
ACH-000966,905968.0,IGROV1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000968,906814.0,COLO 792,Skin,Melanoma
ACH-000969,905989.0,KM12,Bowel,Colorectal Adenocarcinoma
ACH-000970,1674021.0,SNU-C5,Bowel,Colorectal Adenocarcinoma
ACH-000971,905936.0,HCT 116,Bowel,Colorectal Adenocarcinoma
ACH-000973,906798.0,639-V,Bladder/Urinary Tract,Urethral Cancer
ACH-000974,909735.0,SNG-M,Uterus,Endometrial Carcinoma
ACH-000976,907069.0,HuCCT1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000977,907788.0,LNCaP clone FGC,Prostate,Prostate Adenocarcinoma
ACH-000978,1240127.0,EN,Uterus,Endometrial Carcinoma
ACH-000979,905935.0,DU 145,Prostate,Prostate Adenocarcinoma
ACH-000980,908467.0,NCI-H1155,Lung,Non-Small Cell Lung Cancer
ACH-000981,1297446.0,DND-41,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000983,1330931.0,KCL-22,Myeloid,Myeloproliferative Neoplasms
ACH-000985,907794.0,LS411N,Bowel,Colorectal Adenocarcinoma
ACH-000986,907289.0,HT115,Bowel,Colorectal Adenocarcinoma
ACH-000987,908128.0,MeWo,Skin,Melanoma
ACH-000988,1240174.0,MFE-319,Uterus,Endometrial Carcinoma
ACH-000989,1659928.0,SNU-175,Bowel,Colorectal Adenocarcinoma
ACH-000991,1660036.0,SNU-81,Bowel,Colorectal Adenocarcinoma
ACH-000995,998184.0,JURKAT,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000997,905937.0,HCT-15,Bowel,Colorectal Adenocarcinoma
ACH-000998,910554.0,CW-2,Bowel,Colorectal Adenocarcinoma
ACH-000999,1659823.0,SNU-1040,Bowel,Colorectal Adenocarcinoma
ACH-001002,1287706.0,451Lu,Skin,Melanoma
ACH-001016,906746.0,Becker,CNS/Brain,Diffuse Glioma
ACH-001021,910850.0,C3A,Liver,Hepatoblastoma
ACH-001023,910568.0,CGTH-W-1,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-001024,910853.0,CHL-1,Skin,Melanoma
ACH-001039,905961.0,COLO 205,Bowel,Colorectal Adenocarcinoma
ACH-001049,753547.0,CPC-N,Lung,Lung Neuroendocrine Tumor
ACH-001063,1479987.0,DOV13,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-001064,906846.0,EB-2,Lymphoid,Mature B-Cell Neoplasms
ACH-001065,906862.0,Evsa-T,Breast,Invasive Breast Carcinoma
ACH-001075,753604.0,NCI-H292,Lung,Non-Small Cell Lung Cancer
ACH-001081,905971.0,HCC2998,Bowel,Colorectal Adenocarcinoma
ACH-001086,1298134.0,HeLa,Cervix,Cervical Adenocarcinoma
ACH-001089,907057.0,HLE,Liver,Hepatocellular Carcinoma
ACH-001106,1330933.0,KOPN-8,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-001107,1298216.0,KP-1N,Pancreas,Pancreatic Adenocarcinoma
ACH-001118,949094.0,M059J,CNS/Brain,Diffuse Glioma
ACH-001125,908144.0,MOG-G-CCM,CNS/Brain,Diffuse Glioma
ACH-001126,908145.0,MOG-G-UVW,CNS/Brain,Diffuse Glioma
ACH-001127,905958.0,MOLT-4,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-001131,753594.0,MS-1,Skin,Merkel Cell Carcinoma
ACH-001137,908476.0,NCI-H1993,Lung,Non-Small Cell Lung Cancer
ACH-001138,688014.0,NCI-H2141,Lung,Lung Neuroendocrine Tumor
ACH-001151,905969.0,OVCAR-5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-001182,909701.0,RPMI 6666,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-001189,909716.0,SJRH-30,Soft Tissue,Rhabdomyosarcoma
ACH-001190,905955.0,SK-MEL-2,Skin,Melanoma
ACH-001193,909731.0,SK-PN-DW,Bone,Ewing Sarcoma
ACH-001199,909740.0,SNUC2B,Bowel,Colorectal Adenocarcinoma
ACH-001203,1331039.0,SUP-HD1,Lymphoid,Hodgkin Lymphoma
ACH-001208,905980.0,TK-10,Kidney,Renal Cell Carcinoma
ACH-001227,1299052.0,UPCI-SCC-090,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-001233,713869.0,VMRC-LCD,Lung,Non-Small Cell Lung Cancer
ACH-001274,909759.0,SW982,Soft Tissue,Synovial Sarcoma
ACH-001306,906795.0,8305C,Thyroid,Anaplastic Thyroid Cancer
ACH-001307,924102.0,8505C,Thyroid,Anaplastic Thyroid Cancer
ACH-001328,910925.0,A-431,Skin,Cutaneous Squamous Cell Carcinoma
ACH-001331,1290724.0,BICR 10,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-001332,1240122.0,BICR 78,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-001333,687505.0,C-33 A,Cervix,Cervical Squamous Cell Carcinoma
ACH-001334,687506.0,C-4 I,Cervix,Cervical Squamous Cell Carcinoma
ACH-001336,906824.0,Ca Ski,Cervix,Cervical Squamous Cell Carcinoma
ACH-001338,910941.0,CHP-134,Peripheral Nervous System,Neuroblastoma
ACH-001341,906843.0,DoTc2 4510,Cervix,Mixed Cervical Carcinoma
ACH-001344,906872.0,GI-ME-N,Peripheral Nervous System,Neuroblastoma
ACH-001345,907291.0,GP5d,Bowel,Colorectal Adenocarcinoma
ACH-001350,924151.0,HTC-C3,Thyroid,Anaplastic Thyroid Cancer
ACH-001355,949170.0,LAN-6,Peripheral Nervous System,Neuroblastoma
ACH-001358,1330941.0,MDA-MB-330,Breast,Invasive Breast Carcinoma
ACH-001359,687514.0,ME-180,Cervix,Cervical Squamous Cell Carcinoma
ACH-001360,1240179.0,MS751,Cervix,Cervical Squamous Cell Carcinoma
ACH-001362,687804.0,NCI-H1770,Lung,Non-Small Cell Lung Cancer
ACH-001363,1298352.0,NCI-H2135,Lung,Non-Small Cell Lung Cancer
ACH-001364,688021.0,NCI-H345,Lung,Lung Neuroendocrine Tumor
ACH-001365,1240193.0,NCI-H847,Lung,Lung Neuroendocrine Tumor
ACH-001368,1503363.0,OAC-M5.1,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-001373,1480361.0,OV17R,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-001374,909255.0,PA-1 [PA1],Ovary/Fallopian Tube,Ovarian Germ Cell Tumor
ACH-001383,1330993.0,PWR-1E,Prostate,Non-Cancerous
ACH-001384,930083.0,RO82-W-1,Thyroid,Well-Differentiated Thyroid Cancer
ACH-001398,1240220.0,SW 156,Kidney,Renal Cell Carcinoma
ACH-001399,909753.0,SW 626,Bowel,Colorectal Adenocarcinoma
ACH-001400,924247.0,SW 954,Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina
ACH-001401,909744.0,SW-13,Adrenal Gland,Adrenocortical Carcinoma
ACH-001402,724839.0,SW756,Cervix,Cervical Squamous Cell Carcinoma
ACH-001417,909779.0,UMC-11,Lung,Lung Neuroendocrine Tumor
ACH-001418,1480374.0,UWB1.289,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-001442,910697.0,A388,Skin,Cutaneous Squamous Cell Carcinoma
ACH-001443,1290722.0,ASH-3,Thyroid,Anaplastic Thyroid Cancer
ACH-001452,906695.0,BONNA-12,Lymphoid,Mature B-Cell Neoplasms
ACH-001453,924105.0,BPH-1,Prostate,Non-Cancerous
ACH-001489,1322212.0,COR-L32,Lung,Non-Small Cell Lung Cancer
ACH-001490,1322213.0,COR-L321,Lung,Non-Small Cell Lung Cancer
ACH-001496,1503366.0,ESO26,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-001497,1503367.0,ESO51,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-001498,1297449.0,Farage,Lymphoid,Mature B-Cell Neoplasms
ACH-001500,1503361.0,FLO-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-001517,907051.0,HEC-1,Uterus,Endometrial Carcinoma
ACH-001519,907290.0,H-EMC-SS,Bone,Chondrosarcoma
ACH-001525,907068.0,HT-3,Cervix,Cervical Adenocarcinoma
ACH-001526,907072.0,HuO9,Bone,Osteosarcoma
ACH-001528,1240154.0,IHH-4,Thyroid,Well-Differentiated Thyroid Cancer
ACH-001529,907175.0,JAR,Uterus,Gestational Trophoblastic Disease
ACH-001530,907176.0,JEG-3,Uterus,Gestational Trophoblastic Disease
ACH-001542,1298215.0,KON,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-001543,753570.0,KOSC-2,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-001544,1503368.0,KYAE-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-001549,713899.0,Lu-135,Lung,Lung Neuroendocrine Tumor
ACH-001578,908441.0,NCCIT,Testis,Non-Seminomatous Germ Cell Tumor
ACH-001599,688026.0,NCI-H64,Lung,Lung Neuroendocrine Tumor
ACH-001603,908447.0,NH-12,Peripheral Nervous System,Neuroblastoma
ACH-001605,908452.0,no.10,CNS/Brain,Diffuse Glioma
ACH-001606,908450.0,no.11,CNS/Brain,Diffuse Glioma
ACH-001617,1659819.0,OCI-LY7,Lymphoid,Mature B-Cell Neoplasms
ACH-001625,1298362.0,OSC-19,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-001626,1240196.0,OSC-20,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-001630,1480372.0,PEO1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-001638,1330995.0,RC-K8,Lymphoid,Mature B-Cell Neoplasms
ACH-001639,1331025.0,ROS-50,Lymphoid,Mature B-Cell Neoplasms
ACH-001641,1299050.0,SAT,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-001642,910930.0,SCC-3,Lymphoid,Non-Hodgkin Lymphoma
ACH-001650,1240212.0,SISO,Cervix,Cervical Adenocarcinoma
ACH-001653,1503364.0,SK-GT-2,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-001654,1503365.0,SK-GT-4,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-001655,1240215.0,SKN,Uterus,Uterine Sarcoma/Mesenchymal
ACH-001674,910780.0,TGW,Peripheral Nervous System,Neuroblastoma
ACH-001680,909777.0,U-698-M,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-001702,688121.0,VA-ES-BJ,Soft Tissue,Epithelioid Sarcoma
ACH-001703,1331048.0,VAL,Lymphoid,Mature B-Cell Neoplasms
ACH-001704,930301.0,VMRC-MELG,Skin,Melanoma
ACH-001709,909785.0,WSU-NHL,Lymphoid,Mature B-Cell Neoplasms
ACH-001711,683667.0,PFSK-1,CNS/Brain,Embryonal Tumor
ACH-001715,906827.0,CAL-72,Bone,Osteosarcoma
ACH-001716,906875.0,GOTO,Peripheral Nervous System,Neuroblastoma
ACH-001738,905952.0,CCRF-CEM,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-002090,753533.0,BB65-RCC,Kidney,Renal Cell Carcinoma
ACH-002091,924107.0,CAL-39,Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina
ACH-002092,1290767.0,CHSA0011,Bone,Chondrosarcoma
ACH-002093,1290768.0,CHSA0108,Bone,Chondrosarcoma
ACH-002094,1303912.0,CHSA8926,Bone,Chondrosarcoma
ACH-002095,1297438.0,COR-L303,Lung,Lung Neuroendocrine Tumor
ACH-002096,753545.0,CP50-MEL-B,Skin,Melanoma
ACH-002097,753546.0,CP66-MEL,Skin,Melanoma
ACH-002099,1290795.0,CS1,Bone,Chondrosarcoma
ACH-002100,906841.0,DJM-1,Skin,Cutaneous Squamous Cell Carcinoma
ACH-002101,1503369.0,EMC-BAC-1,Lung,Non-Small Cell Lung Cancer
ACH-002102,1503370.0,EMC-BAC-2,Lung,Non-Small Cell Lung Cancer
ACH-002103,949158.0,ES1,Bone,Ewing Sarcoma
ACH-002105,949156.0,ES4,Bone,Ewing Sarcoma
ACH-002106,684057.0,ES5,Bone,Ewing Sarcoma
ACH-002107,949157.0,ES6,Bone,Ewing Sarcoma
ACH-002108,684059.0,ES7,Bone,Ewing Sarcoma
ACH-002109,949155.0,ES8,Bone,Ewing Sarcoma
ACH-002110,949163.0,EW-1,Bone,Ewing Sarcoma
ACH-002111,684062.0,EW-11,Bone,Ewing Sarcoma
ACH-002112,949162.0,EW-12,Bone,Ewing Sarcoma
ACH-002113,949166.0,EW-13,Bone,Ewing Sarcoma
ACH-002114,949165.0,EW-16,Bone,Ewing Sarcoma
ACH-002115,949164.0,EW-18,Bone,Ewing Sarcoma
ACH-002116,949167.0,EW-22,Bone,Ewing Sarcoma
ACH-002117,949168.0,EW-24,Bone,Ewing Sarcoma
ACH-002118,949161.0,EW-3,Bone,Ewing Sarcoma
ACH-002119,949160.0,EW-7,Bone,Ewing Sarcoma
ACH-002120,910932.0,GAK,Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina
ACH-002121,1240130.0,G-MEL,Skin,Melanoma
ACH-002123,1290808.0,H2369,Pleura,Pleural Mesothelioma
ACH-002124,1290809.0,H2373,Pleura,Pleural Mesothelioma
ACH-002125,1290810.0,H2461,Pleura,Pleural Mesothelioma
ACH-002126,1240131.0,H2591,Pleura,Pleural Mesothelioma
ACH-002127,1240132.0,H2595,Pleura,Pleural Mesothelioma
ACH-002128,1290812.0,H2722,Pleura,Pleural Mesothelioma
ACH-002129,1240134.0,H2731,Pleura,Pleural Mesothelioma
ACH-002130,1290813.0,H2795,Pleura,Pleural Mesothelioma
ACH-002131,1240135.0,H2803,Pleura,Pleural Mesothelioma
ACH-002132,1240136.0,H2804,Pleura,Pleural Mesothelioma
ACH-002133,1240137.0,H2810,Pleura,Pleural Mesothelioma
ACH-002134,1290814.0,H2818,Pleura,Pleural Mesothelioma
ACH-002135,1240138.0,H2869,Pleura,Pleural Mesothelioma
ACH-002136,1240139.0,H290,Pleura,Pleural Mesothelioma
ACH-002138,1240141.0,H513,Lung,Non-Small Cell Lung Cancer
ACH-002139,753558.0,HA7-RCC,Kidney,Renal Cell Carcinoma
ACH-002140,1479988.0,Hey,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-002141,1322224.0,HSC-39,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-002142,909977.0,HuO-3N1,Bone,Osteosarcoma
ACH-002143,907172.0,IST-MEL1,Skin,Melanoma
ACH-002144,753564.0,IST-SL1,Lung,Lung Neuroendocrine Tumor
ACH-002145,753565.0,IST-SL2,Lung,Lung Neuroendocrine Tumor
ACH-002146,1480358.0,JHOS-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-002147,1298160.0,K2,Skin,Melanoma
ACH-002148,924238.0,K5,Thyroid,Well-Differentiated Thyroid Cancer
ACH-002149,924186.0,KGN,Ovary/Fallopian Tube,Sex Cord Stromal Tumor
ACH-002150,753577.0,LB1047-RCC,Kidney,Renal Cell Carcinoma
ACH-002151,753578.0,LB2241-RCC,Kidney,Renal Cell Carcinoma
ACH-002152,753579.0,LB2518-MEL,Skin,Melanoma
ACH-002153,753581.0,LB373-MEL-D,Skin,Melanoma
ACH-002154,753582.0,LB647-SCLC,Lung,Lung Neuroendocrine Tumor
ACH-002155,753585.0,LB996-RCC,Kidney,Renal Cell Carcinoma
ACH-002156,1298223.0,LC-1-sq,Lung,Non-Small Cell Lung Cancer
ACH-002157,907786.0,LC-2-ad,Lung,Non-Small Cell Lung Cancer
ACH-002158,907796.0,LU-99A,Lung,Non-Small Cell Lung Cancer
ACH-002159,905975.0,M14,Skin,Melanoma
ACH-002160,908118.0,MC-IXC,Bone,Ewing Sarcoma
ACH-002161,908139.0,MKN28,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-002162,925339.0,MMAC-SF,Skin,Melanoma
ACH-002163,908151.0,MRK-nu-1,Breast,Invasive Breast Carcinoma
ACH-002164,753595.0,MZ1-PC,Pancreas,Pancreatic Adenocarcinoma
ACH-002165,971777.0,MZ2-MEL,Skin,Melanoma
ACH-002166,753596.0,MZ7-mel,Skin,Melanoma
ACH-002167,1509073.0,NCC010,Kidney,Renal Cell Carcinoma
ACH-002168,1509074.0,NCC021,Kidney,Renal Cell Carcinoma
ACH-002170,1298349.0,NCI-H1688,Lung,Lung Neuroendocrine Tumor
ACH-002171,924241.0,NCI-H250,Lung,Lung Neuroendocrine Tumor
ACH-002172,905967.0,NCI-H322M,Lung,Non-Small Cell Lung Cancer
ACH-002174,687600.0,NCI-H720,Lung,Lung Neuroendocrine Tumor
ACH-002175,1331055.0,NCI-H740,Lung,Lung Neuroendocrine Tumor
ACH-002177,753607.0,NCI-H835,Lung,Lung Neuroendocrine Tumor
ACH-002178,910849.0,NY,Bone,Osteosarcoma
ACH-002179,909256.0,OCUB-M,Breast,Invasive Breast Carcinoma
ACH-002180,949154.0,OMC-1,Cervix,Cervical Squamous Cell Carcinoma
ACH-002181,1480364.0,OVCA420,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-002182,1480367.0,OVCA433,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-002183,1240200.0,OVMIU,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-002184,1240202.0,PC-3 [JPC-3],Lung,Non-Small Cell Lung Cancer
ACH-002186,1298533.0,PL4,Pancreas,Pancreatic Adenocarcinoma
ACH-002187,1524418.0,RCC-AB,Kidney,Renal Cell Carcinoma
ACH-002188,1524417.0,RCC-ER,Kidney,Renal Cell Carcinoma
ACH-002189,1524414.0,RCC-FG2,Kidney,Renal Cell Carcinoma
ACH-002190,1524415.0,RCC-JF,Kidney,Renal Cell Carcinoma
ACH-002191,1524416.0,RCC-JW,Kidney,Renal Cell Carcinoma
ACH-002192,1524419.0,RCC-MF,Kidney,Renal Cell Carcinoma
ACH-002195,905978.0,RXF393,Kidney,Renal Cell Carcinoma
ACH-002196,713885.0,SBC-1,Lung,Lung Neuroendocrine Tumor
ACH-002197,753610.0,SBC-3,Lung,Lung Neuroendocrine Tumor
ACH-002198,909711.0,SCH,Other,Extra Gonadal Germ Cell Tumor
ACH-002199,905979.0,SN12C,Kidney,Renal Cell Carcinoma
ACH-002200,909758.0,SW962,Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina
ACH-002201,946357.0,TC-YIK,Cervix,Small Cell Carcinoma of the Cervix
ACH-002202,1299069.0,TMK-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-002204,1503373.0,U-CH2,Bone,Chordoma
ACH-002205,1299078.0,WM1552C,Skin,Melanoma
ACH-002206,1240226.0,WM278,Skin,Melanoma
ACH-002207,1299080.0,WM35,Skin,Melanoma
ACH-002208,1303911.0,YMB-1-E,Breast,Invasive Breast Carcinoma
ACH-002209,910944.0,ALL-PO,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-002210,906765.0,ARH-77,Myeloid,Non-Cancerous
ACH-002211,910705.0,BALL-1,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-002212,753531.0,BB30-HNC,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002213,753532.0,BB49-HNC,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002214,910919.0,BC-1,Lymphoid,Mature B-Cell Neoplasms
ACH-002215,910918.0,BC-3,Lymphoid,Mature B-Cell Neoplasms
ACH-002216,906763.0,BE-13,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-002217,753616.0,BE2-M17,Peripheral Nervous System,Neuroblastoma
ACH-002218,910688.0,CESS,Myeloid,Acute Myeloid Leukemia
ACH-002219,910569.0,COLO-320-HSR,Bowel,Colorectal Adenocarcinoma
ACH-002220,906807.0,CRO-AP2,Lymphoid,Mature B-Cell Neoplasms
ACH-002221,949088.0,CTB-1,Lymphoid,Mature B-Cell Neoplasms
ACH-002222,753548.0,CTV-1,Lymphoid,Mature T and NK Neoplasms
ACH-002223,946366.0,D-245MG,CNS/Brain,Diffuse Glioma
ACH-002224,946367.0,D-247MG,CNS/Brain,Diffuse Glioma
ACH-002225,946368.0,D-263MG,CNS/Brain,Diffuse Glioma
ACH-002226,946369.0,D-336MG,CNS/Brain,Diffuse Glioma
ACH-002227,946370.0,D-392MG,CNS/Brain,Diffuse Glioma
ACH-002228,946372.0,D-423MG,CNS/Brain,Diffuse Glioma
ACH-002229,946373.0,D-502MG,CNS/Brain,Diffuse Glioma
ACH-002230,753549.0,D-542MG,CNS/Brain,Diffuse Glioma
ACH-002231,946377.0,D-566MG,CNS/Brain,Diffuse Glioma
ACH-002232,906838.0,DG-75,Lymphoid,Mature B-Cell Neoplasms
ACH-002233,1789883.0,DIFI,Bowel,Colorectal Adenocarcinoma
ACH-002234,910936.0,DOK,Head and Neck,"Head and Neck Carcinoma, Other"
ACH-002235,753552.0,DSH1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-002236,906847.0,EB-3,Lymphoid,Mature B-Cell Neoplasms
ACH-002237,906861.0,ETK-1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-002238,906877.0,GR-ST,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-002239,1240140.0,H3118,Head and Neck,Salivary Carcinoma
ACH-002240,907043.0,H9,Lymphoid,Mature T and NK Neoplasms
ACH-002241,949153.0,HAL-01,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-002242,907044.0,HC-1,Lymphoid,Mature B-Cell Neoplasms
ACH-002243,753559.0,HCE-4,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-002244,924111.0,HO-1-N-1,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002245,1322218.0,Hs-445,Lymphoid,Hodgkin Lymphoma
ACH-002246,1240149.0,Hs 633.T,Soft Tissue,Fibrosarcoma
ACH-002247,753563.0,IM-9,Myeloid,Non-Cancerous
ACH-002248,907170.0,IMR-5,Peripheral Nervous System,Neuroblastoma
ACH-002249,1240161.0,JHU-011,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002250,1240162.0,JHU-022,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002251,1298156.0,JHU-029,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002252,907268.0,JiyoyeP-2003,Lymphoid,Mature B-Cell Neoplasms
ACH-002253,1327769.0,JSC-1,Lymphoid,Mature B-Cell Neoplasms
ACH-002254,1327773.0,KARPAS-1106P,Lymphoid,Mature B-Cell Neoplasms
ACH-002255,1327774.0,KARPAS-231,Lymphoid,Mature B-Cell Neoplasms
ACH-002256,907272.0,KARPAS-45,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-002257,907279.0,KINGS-1,CNS/Brain,Diffuse Glioma
ACH-002258,907280.0,KMOE-2,Myeloid,Acute Myeloid Leukemia
ACH-002259,924188.0,KNS-81-FD,CNS/Brain,Diffuse Glioma
ACH-002261,946363.0,KP-N-YS,Peripheral Nervous System,Neuroblastoma
ACH-002262,907300.0,KY821,Myeloid,Acute Myeloid Leukemia
