ModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease
ACH-000489,909746.0,SW1116,Bowel,Colorectal Adenocarcinoma
ACH-000491,908458.0,NCI-H716,Bowel,Colorectal Adenocarcinoma
ACH-000493,909737.0,SNU-423,Liver,Hepatocellular Carcinoma
ACH-000496,724868.0,NCI-H1792,Lung,Non-Small Cell Lung Cancer
ACH-000501,907792.0,LS123,Bowel,Colorectal Adenocarcinoma
ACH-000504,905982.0,SNB75,CNS/Brain,Diffuse Glioma
ACH-000505,1298539.0,RKN,Soft Tissue,Leiomyosarcoma
ACH-000506,910899.0,NCI-H146,Lung,Lung Neuroendocrine Tumor
ACH-000508,906808.0,COR-L88,Lung,Lung Neuroendocrine Tumor
ACH-000510,724831.0,NCI-H1299,Lung,Non-Small Cell Lung Cancer
ACH-000514,687997.0,NCI-H1092,Lung,Lung Neuroendocrine Tumor
ACH-000515,1303901.0,HCC-33,Lung,Lung Neuroendocrine Tumor
ACH-000516,1290765.0,CAL-78,Bone,Chondrosarcoma
ACH-000518,753541.0,CAL-33,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000521,722045.0,NCI-H2030,Lung,Non-Small Cell Lung Cancer
ACH-000522,724838.0,UM-UC-3,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000524,909975.0,KURAMOCHI,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000525,688015.0,NCI-H2171,Lung,Lung Neuroendocrine Tumor
ACH-000527,1240198.0,OVISE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000528,906791.0,ABC-1,Lung,Non-Small Cell Lung Cancer
ACH-000530,687983.0,DMS 114,Lung,SMARCA4-deficient undifferentiated tumor
ACH-000532,1660035.0,SNU-61,Bowel,Colorectal Adenocarcinoma
ACH-000534,1331050.0,WSU-DLCL2,Lymphoid,Mature B-Cell Neoplasms
ACH-000535,906693.0,BxPC-3,Pancreas,Pancreatic Adenocarcinoma
ACH-000536,906801.0,BT-20,Breast,Invasive Breast Carcinoma
ACH-000538,907073.0,HUTU80,Bowel,Small Bowel Cancer
ACH-000544,1298359.0,OE21,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000546,907062.0,HSC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000547,907065.0,HT-1197,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000548,753535.0,BHY,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000551,905940.0,K-562,Myeloid,Myeloproliferative Neoplasms
ACH-000552,905939.0,HT-29,Bowel,Colorectal Adenocarcinoma
ACH-000554,909778.0,UACC-893,Breast,Invasive Breast Carcinoma
ACH-000555,905948.0,A-498,Kidney,Renal Cell Carcinoma
ACH-000556,930297.0,SIHA,Cervix,Cervical Squamous Cell Carcinoma
ACH-000558,687563.0,A-172,CNS/Brain,Diffuse Glioma
ACH-000559,1240182.0,NCI-H1836,Lung,Lung Neuroendocrine Tumor
ACH-000560,906848.0,ECC10,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000561,1299064.0,T.T,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000562,1290908.0,HCC-78,Lung,Non-Small Cell Lung Cancer
ACH-000563,753554.0,EBC-1,Lung,Non-Small Cell Lung Cancer
ACH-000565,909263.0,RCM-1,Bowel,Colorectal Adenocarcinoma
ACH-000566,909749.0,SW-1710,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000567,910906.0,ST486,Lymphoid,Mature B-Cell Neoplasms
ACH-000568,910910.0,UACC-812,Breast,Invasive Breast Carcinoma
ACH-000569,907173.0,IST-MES1,Pleura,Pleural Mesothelioma
ACH-000570,687592.0,YKG1,CNS/Brain,Diffuse Glioma
ACH-000571,687586.0,T98G,CNS/Brain,Diffuse Glioma
ACH-000572,906865.0,G-361,Skin,Melanoma
ACH-000573,1240172.0,MDA-MB-436,Breast,Invasive Breast Carcinoma
ACH-000574,1240129.0,FU-OV-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000577,1240157.0,JHH-2,Liver,Hepatocellular Carcinoma
ACH-000579,905977.0,UACC-257,Skin,Melanoma
ACH-000580,906830.0,C32,Skin,Melanoma
ACH-000581,908446.0,SNU-16,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000583,907799.0,MC116,Lymphoid,Non-Hodgkin Lymphoma
ACH-000584,1480359.0,JHOS-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000585,753556.0,EPLC-272H,Lung,Non-Small Cell Lung Cancer
