model,split,seed,PCC_cohort,PCC_foldwise,PCC_delta,RMSE_cohort,RMSE_foldwise,RMSE_delta,Spearman_cohort,Spearman_foldwise,Spearman_delta,R2_cohort,R2_foldwise,R2_delta,Per-drug PCC_cohort,Per-drug PCC_foldwise,Per-drug PCC_delta,Per-cell PCC_cohort,Per-cell PCC_foldwise,Per-cell PCC_delta
pathxdrp,cell_blind,0,0.8622361421585083,0.8641535043716431,0.0019173622131347656,1.4478134374617553,1.532525134977289,0.08471169751553376,0.8077911184439481,0.808999666038684,0.001208547594735876,0.7374637126922607,0.7058428525924683,-0.03162086009979248,0.30752092599868774,0.30688896775245667,-0.0006319582462310791,0.8876035213470459,0.8894934058189392,0.0018898844718933105
pathxdrp,cell_blind,1,0.861945390701294,0.8604293465614319,-0.0015160441398620605,1.4354169099066556,1.527404471748922,0.09198756184226631,0.808295430995663,0.8055265972397785,-0.0027688337558845477,0.7413455247879028,0.7071319818496704,-0.03421354293823242,0.28384923934936523,0.2809264659881592,-0.0029227733612060547,0.8908689618110657,0.8895362019538879,-0.0013327598571777344
pathxdrp,tissue_blind,0,0.8461591005325317,0.8561511635780334,0.009992063045501709,1.5459284342724964,1.4898416344118026,-0.05608679986069376,0.7899328703481127,0.8034170222649287,0.013484151916816067,0.6966846585273743,0.7182942032814026,0.02160954475402832,0.00416190829128027,0.14541839063167572,0.14125648234039545,0.8904655575752258,0.8964433670043945,0.005977809429168701
drpreter,cell_blind,0,0.8692928552627563,0.8675534725189209,-0.0017393827438354492,1.4344766584952506,1.4391118839500865,0.004635225454835856,0.8167294120326408,0.8127163650828417,-0.004013046949799093,0.7422782182693481,0.7406100034713745,-0.0016682147979736328,0.3555420935153961,0.3313344419002533,-0.024207651615142822,0.8887677192687988,0.8887124061584473,-5.53131103515625e-05
drpreter,tissue_blind,0,0.8538991808891296,0.8534884452819824,-0.0004107356071472168,1.5221143405087134,1.5762380517541534,0.05412371124544002,0.8009151207888027,0.7993034832246946,-0.0016116375641080927,0.7059574723243713,0.6846743822097778,-0.021283090114593506,0.12069185078144073,0.07029391825199127,-0.05039793252944946,0.8954893946647644,0.8949245810508728,-0.0005648136138916016
graphdrp,cell_blind,0,0.8838163614273071,0.867428183555603,-0.0163881778717041,1.348137015128677,1.4282052115654715,0.08006819643679464,0.8349970015138762,0.8105992493524334,-0.0243977521614428,0.7723685503005981,0.744526743888855,-0.027841806411743164,0.44251158833503723,0.3306505084037781,-0.11186107993125916,0.8990247845649719,0.8935859799385071,-0.005438804626464844
graphdrp,tissue_blind,0,0.863564670085907,0.8643778562545776,0.0008131861686706543,1.4201986470768142,1.411891598614461,-0.008307048462353306,0.8116771391068403,0.8144675017579817,0.0027903626511414092,0.7440154552459717,0.7470012903213501,0.002985835075378418,0.20788738131523132,0.2538033723831177,0.04591599106788635,0.8978718519210815,0.896941065788269,-0.0009307861328125
cdrscan,cell_blind,0,0.889412522315979,0.8888505697250366,-0.0005619525909423828,1.2977968179998542,1.306324326075242,0.008527508075387713,0.8422561473656275,0.8392668335904955,-0.0029893137751320076,0.7890509366989136,0.7862696647644043,-0.0027812719345092773,0.46105363965034485,0.45757901668548584,-0.003474622964859009,0.904898464679718,0.9052419066429138,0.0003434419631958008
cdrscan,tissue_blind,0,0.8698753714561462,0.8733470439910889,0.003471672534942627,1.3876536911394348,1.39052229941387,0.002868608274435136,0.818692812350746,0.824234580515347,0.0055417681646010575,0.7556132078170776,0.7546017169952393,-0.001011490821838379,0.3023412227630615,0.31513920426368713,0.01279798150062561,0.8983849287033081,0.902044951915741,0.0036600232124328613
