K,recall_largest_K,recall_uniform_random_K,n_drugs
1,0.08620689655172414,0.07559310344827587,145
2,0.6471264367816093,0.1322080459770115,145
3,0.67183908045977,0.1877080459770115,145
5,0.6801149425287357,0.2728816091954023,145
10,0.7617241379310344,0.40732413793103445,145
20,0.7809195402298852,0.5404344827586207,145
30,0.8027586206896552,0.6179057471264366,145
50,0.8597701149425288,0.7152114942528736,145
