model,split,seed,fold,source_file,PCC,RMSE,MAE,MSE,Spearman,R2,Per-drug PCC,Per-cell PCC,ECE,n_params,best_val_pcc,best_val_epoch,total_train_sec,sel_RMSE@50,sel_RMSE@70,sel_RMSE@90,sel_RMSE@100,epistemic_mean,aleatoric_mean
cdrscan,cell_blind,0,0,results/cdrscan/cell_blind_seed0_fold0.json,0.889412522315979,1.2977968179998542,0.9823501110076904,1.6842765808105469,0.8422561473656275,0.7890509366989136,0.46105363965034485,0.904898464679718,,10713601,0.8880754709243774,23,1396.0847375392914,,,,,,
cdrscan,cell_blind,1,0,results/cdrscan/cell_blind_seed1_fold0.json,0.8909788131713867,1.2913334119209525,0.9772976040840149,1.6675419807434084,0.8460359187685167,0.7906656265258789,0.47786709666252136,0.9088401794433594,,10713601,0.8918547630310059,48,2439.9408009052277,,,,,,
cdrscan,cell_blind,2,0,results/cdrscan/cell_blind_seed2_fold0.json,0.8886708617210388,1.3384613824459763,1.0026392936706543,1.7914788722991941,0.840854901675966,0.7766059637069702,0.4630073010921478,0.9072490334510803,,10713601,0.8853298425674438,22,1339.5146842002869,,,,,,
cdrscan,cell_blind,3,0,results/cdrscan/cell_blind_seed3_fold0.json,0.8919867277145386,1.2806797154039982,0.9689411520957947,1.6401405334472656,0.8449620843730434,0.7937346696853638,0.47714176774024963,0.9099209904670715,,10713601,0.8901193141937256,41,2168.000948190689,,,,,,
cdrscan,cell_blind,4,0,results/cdrscan/cell_blind_seed4_fold0.json,0.8909193277359009,1.3002419943420949,0.9907309412956238,1.6906292438507082,0.8401376093360606,0.7874483466148376,0.47443702816963196,0.9056801795959473,,10713601,0.8902977705001831,39,2087.3187766075134,,,,,,
cdrscan,drug_blind,0,0,results/cdrscan/drug_blind_seed0_fold0.json,0.6367835998535156,2.4445448575444213,1.8296860456466675,5.975799560546875,0.5363001998743819,0.37031763792037964,0.6748735904693604,0.5782305002212524,,10713601,0.636725902557373,29,1665.4159936904907,,,,,,
cdrscan,drug_blind,1,0,results/cdrscan/drug_blind_seed1_fold0.json,0.6306343078613281,2.406954773576657,1.7952994108200073,5.793431282043457,0.5469149499601378,0.3827993869781494,0.663166344165802,0.572144627571106,,10713601,0.6248304843902588,44,2291.322150707245,,,,,,
cdrscan,drug_blind,2,0,results/cdrscan/drug_blind_seed2_fold0.json,0.6357317566871643,2.4129543291710944,1.8040534257888794,5.8223485946655265,0.5511436509369895,0.3862014412879944,0.6690073013305664,0.5838737487792969,,10713601,0.6356227993965149,50,2549.233161687851,,,,,,
cdrscan,drug_blind,3,0,results/cdrscan/drug_blind_seed3_fold0.json,0.6342544555664062,2.404583936299119,1.7931368350982666,5.782023906707765,0.5429144672685442,0.39055943489074707,0.6763084530830383,0.5770933628082275,,10713601,0.6284925937652588,41,2466.1046073436737,,,,,,
cdrscan,drug_blind,4,0,results/cdrscan/drug_blind_seed4_fold0.json,0.6333856582641602,2.4116783838134648,1.8017829656600952,5.816192626953126,0.5497525324610536,0.3857598900794983,0.6721092462539673,0.5676456093788147,,10713601,0.6329776048660278,55,2925.0997519493103,,,,,,
cdrscan,random,0,0,results/cdrscan/random_seed0_fold0.json,0.9339998364448547,0.9999468610473086,0.7445695400238037,0.9998937249183655,0.8975285066907664,0.8714417219161987,0.7360643744468689,0.9129109978675842,,10713601,0.9377202987670898,56,2503.4391753673553,,,,,,
cdrscan,random,1,0,results/cdrscan/random_seed1_fold0.json,0.9322936534881592,1.010110821923131,0.7558731436729431,1.0203238725662231,0.8962251188848485,0.8667635917663574,0.732303261756897,0.9111704230308533,,10713601,0.940217912197113,56,2488.1005475521088,,,,,,
cdrscan,random,2,0,results/cdrscan/random_seed2_fold0.json,0.9327456951141357,0.990739261042466,0.7363224029541016,0.9815642833709716,0.8978545746725056,0.8695683479309082,0.7398552298545837,0.9150182604789734,,10713601,0.9394516348838806,57,2496.972664117813,,,,,,
cdrscan,random,3,0,results/cdrscan/random_seed3_fold0.json,0.9336857795715332,0.9898264268474773,0.7411540746688843,0.9797563552856444,0.8935481929048039,0.8711034059524536,0.7356119751930237,0.9096937775611877,,10713601,0.9438462257385254,56,2506.822747707367,,,,,,
cdrscan,random,4,0,results/cdrscan/random_seed4_fold0.json,0.9325569272041321,0.9897072798086656,0.7479814887046814,0.9795204997062682,0.8953382578281948,0.8684350252151489,0.7392472624778748,0.9142434000968933,,10713601,0.9402415752410889,55,2592.574256658554,,,,,,
cdrscan,scaffold_blind,0,0,results/cdrscan/scaffold_blind_seed0_fold0.json,0.22820019721984863,3.0991398263992895,2.434373617172241,9.604667663574219,0.26915220904743253,-0.013523221015930176,0.658141016960144,0.055664099752902985,,10713601,0.22050386667251587,1,607.4776740074158,,,,,,
cdrscan,scaffold_blind,1,0,results/cdrscan/scaffold_blind_seed1_fold0.json,0.40312302112579346,2.5927047461769317,1.9469101428985596,6.722117900848388,0.31957909898483694,0.08417171239852905,0.6059067845344543,0.22497601807117462,,10713601,0.39919573068618774,1,598.761864900589,,,,,,
cdrscan,scaffold_blind,2,0,results/cdrscan/scaffold_blind_seed2_fold0.json,0.2806328535079956,2.8955142350793017,2.1159448623657227,8.384002685546873,0.3112176305228692,0.06905913352966309,0.5913337469100952,0.09611912816762924,,10713601,0.284073144197464,1,639.9375677108765,,,,,,
