split,seed,n,RMSE,ECE,sigma_error_AUROC,spearman_sigma_abserr,mean_epistemic,mean_aleatoric,selRMSE@50,selRMSE@70,selRMSE@90,selRMSE@100,selective_gain_50
random,0,15046,1.0238305948076163,0.17875262435594913,0.6574124433044879,0.3272465134106806,0.7588785685821814,0.08676230814475608,0.7528761751685382,0.8309795301580652,0.9264712555206892,1.0238305948076163,0.2646477073582588
random,1,15046,1.0301187266726606,0.19087284939668667,0.6461897635058769,0.31409770746428595,0.7704523321940648,0.0866748151201183,0.7627616847847007,0.8381521739054378,0.9396996585926216,1.0301187266726606,0.2595400267613206
random,2,15046,1.0209596907773002,0.18408983879320778,0.6515775300907604,0.314979038014727,0.7557391725551774,0.08707394591110593,0.7797864059585217,0.8273592343010224,0.9117311078325904,1.0209596907773002,0.2362221417724759
random,3,15046,0.9975725313048701,0.2179583658073441,0.6495732286555709,0.3047171161058239,0.6828779425640767,0.07711440663105809,0.7600998082617129,0.8411561968287069,0.9141031504830309,0.99757253130487,0.23805058338217477
random,4,15046,1.0152978001088517,0.29565330836713893,0.6343235434728423,0.28587401195056805,0.6611318319682973,0.07567878906359829,0.8013012878668527,0.8633200100736431,0.93898751227407,1.0152978001088517,0.21077216184163516
cell_blind,0,15052,1.447813456281401,0.3325673548900723,0.6395741551530918,0.2991323069531596,1.1877744328471298,0.12592662986868855,1.11666656307664,1.228050039447352,1.3459311062745203,1.447813456281401,0.22872207173380377
cell_blind,1,15052,1.4354169702521231,0.11091266349008413,0.6331798988416029,0.27693904378328593,1.7956174082792984,0.5651513766761892,1.1241446116663358,1.230038141861417,1.357283559986569,1.4354169702521231,0.2168515247044307
cell_blind,2,15052,1.4438527186044736,0.05354980079762034,0.6322493131967564,0.27942301124075025,1.5821315667253522,0.5535473754903003,1.1000122842753213,1.2168136434041203,1.3519495595840827,1.4438527186044736,0.23814093355829558
cell_blind,3,15052,1.4152658355719963,0.1413614213491075,0.6461279964243365,0.3050142480350698,1.6192136237197716,0.16979318844964125,1.043950349276191,1.1832036328086544,1.3114135181744389,1.4152658355719963,0.2623644809073864
cell_blind,4,15052,1.4337415405943714,0.09947461625329794,0.6357190016588078,0.2865609399192742,1.860060716682833,0.4368210872860749,1.0851538143102732,1.2055917458242977,1.333369565390549,1.4337415405943714,0.24313149644781007
drug_blind,0,15032,2.837263299070537,1.3878777584095183,0.6244605972399913,0.26833853403888625,1.7358752613712745,0.1818463554870942,2.126689576477494,2.292100767198315,2.551608353812049,2.8372632990705364,0.25044334899260856
drug_blind,1,15032,2.477942862539574,1.0873451387574282,0.588885461945862,0.20445022929014886,1.6707592047498667,0.1780259858634247,1.9962597746202997,2.095420961615734,2.159627556764715,2.477942862539574,0.19438829490427023
drug_blind,2,15032,3.0494604733413513,1.7799972513329254,0.4665785016091979,-0.051401061623913905,1.3105448726938531,0.1461929775886775,2.51160480750508,2.522116372709139,2.7432300898122213,3.0494604733413513,0.1763773200335772
drug_blind,3,15032,2.662180665399763,1.4988840326047796,0.48645469052220264,0.006661065380293329,1.175023116646421,0.12686699978113358,2.421966202925426,2.3584604263691125,2.3119166001703633,2.662180665399763,0.09023221661714886
drug_blind,4,15032,2.594530161440317,1.3873556441395998,0.5431061509085744,0.12529895890698312,1.3312961187543242,0.14289062233681482,2.1336248330296255,2.2362272227135938,2.411767192975303,2.594530161440317,0.17764500689204799
scaffold_blind,0,15246,2.747418926287934,1.6173445576082284,0.5451337752149887,0.09049686123933796,1.1293966310448642,0.1567019827944379,2.680211788711099,2.6345814209521987,2.6332890221151066,2.747418926287934,0.02446191839685663
scaffold_blind,1,14100,2.906192932710113,1.7122690652466401,0.5878111362607514,0.192995552642845,1.2054062231158866,0.12285512582191489,2.407904873607804,2.508071571587057,2.671237940822051,2.906192932710113,0.17145732256586288
scaffold_blind,2,15925,2.292111075487997,1.0667822435806062,0.4661538499635165,-0.09169533288619643,1.36607037948,0.14753707065092622,2.5617900805214107,2.3968278213433383,2.302073493275084,2.292111075487997,-0.11765529511958683
scaffold_blind,3,14176,2.1828030007116848,1.1000605603056905,0.5120593170219976,0.02909519331508377,1.144670344819413,0.11696638017275679,2.1383461824908845,2.1732948659284355,2.1946037984158866,2.1828030007116848,0.02036684859160698
scaffold_blind,4,15099,2.4358547295868687,0.9941271276389501,0.5186787864538875,0.02850517341037735,1.8332057768660177,0.20500819541340487,2.3419614979726013,2.3015638532549403,2.3500847711953843,2.4358547295868687,0.03854631824870447
tissue_blind,0,6026,1.5459284151925257,0.381127974679757,0.6110668902506662,0.24703632070957127,0.9014045518752074,0.426780127414537,1.2158521453013973,1.3073279249548517,1.4333876882539864,1.5459284151925259,0.21351329508360306
tissue_blind,1,6026,1.5021037622274038,0.283081410554622,0.6162939905613125,0.2438901995372,1.2561583696083638,0.2647217284195154,1.192790507576798,1.2935838046833774,1.4179584305460387,1.5021037622274038,0.20592003191040464
tissue_blind,2,6026,1.5660574079680458,0.5011007347076029,0.6135404617384849,0.24922515513129745,0.9823657478078329,0.1633664031408895,1.2536022104297884,1.3542180252098774,1.479987783995131,1.5660574079680456,0.19951707769363758
tissue_blind,3,6026,1.4897187185925567,0.3772958114209272,0.6167734925401808,0.254802635747757,1.1535473125008298,0.13097733682923995,1.1788096996752013,1.2798052706921244,1.3852144220544191,1.489718718592557,0.2087031699588855
tissue_blind,4,6026,1.5232830931878023,0.2640026294308186,0.6291933979197787,0.2764916331295949,1.4653215394615002,0.2091288561211417,1.1836074909987973,1.2967920930538779,1.4297121450137746,1.5232830931878023,0.22298915001948827
