split,seed,cohort_epistemic,cohort_total,foldwise_epistemic,foldwise_total,d_definition,d_normalisation
cell_blind,0,0.38458819400239275,0.3325673548900723,0.24068532253202726,0.08801138430072988,-0.05202083911232047,-0.2445559705893424
cell_blind,1,0.10495781826129424,0.11091266349008413,0.3513181958818124,0.207019380329916,0.00595484522878989,0.09610671683983185
tissue_blind,0,0.5887361091794822,0.38112797467975706,0.4956482976148457,0.44693540876969096,-0.2076081344997251,0.06580743408993389
