split,seed,ECE_raw_eval80,ECE_temperature,ECE_var_scale,ECE_isotonic,temp_T,var_scale,selRMSE@50_raw,selRMSE@50_isotonic
random,0,0.18163155917500473,0.1451964178918778,0.19378921234794616,0.04637242057467779,1.16,1.8010290820056454,0.7560551030011433,0.7560551030011433
random,1,0.19101978430436412,0.1420604155993696,0.2240503195587749,0.043498545720485275,1.16,1.8903302920254457,0.7671641487098567,0.7686095393248161
random,2,0.18583592172327326,0.16214408166770805,0.26911240625173266,0.051743976346689466,1.1400000000000001,2.0425567823444917,0.7831302759139201,0.7901779221325717
random,3,0.21651343544859086,0.1728208533146105,0.23813145407224273,0.0440241705418839,1.1400000000000001,2.1067899544312345,0.7577758410298674,0.7577758410298674
random,4,0.2944881654919583,0.23261700174746341,0.46770566241126565,0.04071218976231277,1.22,3.476440684314809,0.8013227976084432,0.8079286693261307
cell_blind,0,0.33085675749438886,0.12969071667554263,0.13078693652693602,0.07075974900691438,1.3599999999999999,1.8800329759069778,1.1264407687803255,1.1264407687803255
cell_blind,1,0.1100245806984394,0.05851909424943905,0.0584843630374454,0.05899137727808844,0.94,0.8458090531923635,1.1282626246021865,1.1282626246021865
cell_blind,2,0.04861060572043199,0.07458537021581242,0.06117694026206065,0.055529096312605886,0.94,0.9116066365394223,1.1061308621085724,1.1081676393953082
cell_blind,3,0.1435193039725038,0.07827510547522748,0.07783269159672777,0.057758504065127184,1.08,1.2203158279526547,1.0482654636924555,1.0482654636924555
cell_blind,4,0.11024631586594026,0.07051440209159374,0.06164909970373514,0.042363000083648426,0.96,0.8924932953614003,1.0862620171088018,1.0887623595368805
drug_blind,0,1.4076026964660158,0.20483940906492012,0.1686855487771417,0.15309042366833617,1.92,3.960699276507986,2.165128306352447,2.1615871738763537
drug_blind,1,1.0934936602916887,0.22993015819912305,0.22967564899004764,0.08564723467592424,1.86,3.528267286133976,2.0038321712856866,2.0126530124541984
drug_blind,2,1.7485142243411644,0.42089617193330525,0.5446508482399022,0.2250086513028699,2.66,8.037893316216728,2.508851757343541,2.508851757343541
drug_blind,3,1.5038176989875653,0.5596283162337632,0.689541092467205,0.05974785321009479,2.22,7.619119938000228,2.4329550000102946,2.3125422024837374
drug_blind,4,1.4029223710998133,0.27017133157658224,0.2731495837424463,0.13945831105169929,2.12,5.418652227079943,2.13213914746078,2.1316246196417024
scaffold_blind,0,1.6152138254985065,0.39409380381365516,0.4343255526489345,0.06919988680975533,2.2600000000000002,6.7325374990852,2.670824486840734,2.58705082155058
scaffold_blind,1,1.7181831537090047,0.18006877205509714,0.15949827399709082,0.0942625130287,2.4600000000000004,6.5785138385185675,2.404172451800579,2.4013974958493445
scaffold_blind,2,1.050010396956604,0.7049018718688571,1.4432230913725663,0.05697113044783876,1.58,7.576729005212715,2.545686459019035,2.2756806582458284
scaffold_blind,3,1.103186394877955,0.4443341420508805,0.4702628670536451,0.05600946380220462,2.02,4.925695232037188,2.14682826371981,2.154244559170677
scaffold_blind,4,0.9999676959276741,0.2951089645168212,0.5910519482319803,0.13317694106790195,1.54,3.6669384555106554,2.3525192826387444,2.3059281446412423
tissue_blind,0,0.39339189905766075,0.07079569358127683,0.07405712506395748,0.14039563910233402,1.32,1.7096041689199033,1.2327881367821738,1.236329276250113
tissue_blind,1,0.2963727129702022,0.1445449168910002,0.08829268360971221,0.10040754167827305,1.1400000000000001,1.5427363923946533,1.184828626665373,1.1963196036563002
tissue_blind,2,0.5006699789068221,0.13571719680691544,0.13139660414767662,0.10037936665945937,1.54,2.3370159396038237,1.2556788238373287,1.2686519407905839
tissue_blind,3,0.39473847898505876,0.14049301670161213,0.13481845440849627,0.1114769418749576,1.3,1.8189096430390805,1.1846929085533027,1.2049100891934061
tissue_blind,4,0.26653742847868517,0.14765528115531817,0.18737286985050805,0.051993025516863696,1.1400000000000001,1.6945224615464023,1.188089798512426,1.188089798512426
