split,row_jaccard,cell_jaccard,drug_jaccard,n_test_rows
random,0.1099633040507855,0.9982783357245337,0.9888634920634921,15046
cell_blind,0.332946413482163,1.0,1.0,15052
drug_blind,0.33279704738126065,0.9994261119081779,1.0,15032
scaffold_blind,0.058493233864899866,0.9985650736324807,0.12218642343235604,14909
tissue_blind,0.33625425928999375,1.0,1.0,6026
