model,n_params,median_train_sec,total_sweep_hours,median_best_epoch,random_PCC,n_runs
pathxdrp,2819206,4273.441075563431,35.842102151314414,14.0,0.9301933169364928,25
drpreter,627073,2170.8315274715424,23.543491734729873,6.0,0.9254433870315552,25
graphdrp,2859494,1292.8196239471436,12.222805729375946,8.0,0.9366024494171142,25
cdrscan,10713601,1751.427217245102,12.152989888191223,29.0,0.933056378364563,25
