model,PCC,Spearman,RMSE,R2,per_drug,n
pathxdrp,0.6841206396335191,0.6763803397288164,2.669751644958204,-0.22166881481492462,0.028310005665321596,14423
graphdrp,0.6677530177672327,0.6552981267696988,3.33322868864323,-0.904329015052209,0.054787460560077966,14423
drpreter,0.6412364769486528,0.6202199812546976,3.5621518942310026,-1.1748866678607826,-0.014437045815538157,14423
cdrscan,0.7035813052779836,0.6922722034164084,4.381200655684809,-2.2900163055655063,0.13877990507152838,14423
deepcdr,0.6786362863804801,0.664797492942235,3.201792638020254,-0.757106825464195,0.06831063800698979,14423
