tag,variant,residual,drop_h_mol,aux,pool,n_seeds,PCC,PCC_sd,RMSE,comp,suff,attn_auroc,attn_recall5
abA,A  baseline (old head),--,--,--,attention,1,0.9322995543479919,0.0,1.0152429889285637,0.026879878970106696,0.02714610785586791,0.6447488615668905,0.294478527607362
abAp,A' pooling-only control,--,--,--,mean,1,0.9330577850341797,0.0,1.0107321623521544,0.02046295089100955,0.022483546551089056,0.6343822120806503,0.26523517382413087
abB,B  + residual/LN,yes,--,--,mean,1,0.9321368932723999,0.0,1.019607424174053,0.055196035694613864,0.05318448866446373,0.6279411151018771,0.2710633946830266
abC,C  + drop $h_{mol}$,--,yes,--,mean,1,0.9168872833251953,0.0,1.1161400212599248,0.37240947935463004,0.4384521102014033,0.8167607781705639,0.25276073619631906
abD,D  + attention-aux,--,--,yes,mean,1,0.9297709465026855,0.0,1.0337212170395849,0.09973750845430898,0.2316261685221507,0.8235467042630633,0.270040899795501
abE,E  B + C,yes,yes,--,mean,1,0.9338473081588745,0.0,1.0019239752323454,0.5013217765519608,0.5007049752289295,0.5907317644735285,0.2642126789366053
abF,F  full PathXDRP,yes,yes,yes,mean,1,0.930781900882721,0.0,1.0238260594434108,0.4479367580296244,0.4525970623107383,0.8166120728626001,0.2831288343558282
