split,seed,method,auroc,spearman,sel_gain
random,0,evidential sigma,0.6574124433044879,0.3272465134106806,0.2646477073582588
random,0,extremeness,0.4849547390925526,-0.021104694173359338,-0.011153508082587082
random,0,drug rarity,0.5085567359923432,0.029448002975548,0.06278029321315837
random,0,cell rarity,0.5034967603182929,0.008144298003542503,-0.00905805013370431
random,0,expression distance,0.5,,0.0600033834764222
random,1,evidential sigma,0.6461897635058769,0.31409770746428595,0.2595400267613206
random,1,extremeness,0.48376366444070174,-0.0334230202203197,-0.012664074164623118
random,1,drug rarity,0.5198803601606057,0.042983854453507615,0.05541458780040265
random,1,cell rarity,0.5007606254550602,0.0074595328092524225,0.0106213301613719
random,1,expression distance,0.5,,0.05701041821072417
random,2,evidential sigma,0.6515775300907604,0.314979038014727,0.2362221417724759
random,2,extremeness,0.49442743083115276,-0.012812285601849887,0.000777056400068532
random,2,drug rarity,0.5256567440159451,0.05251444726250787,0.0658595222465348
random,2,cell rarity,0.5017063980442695,0.001961509533052644,-0.0200455339117942
random,2,expression distance,0.5,,0.05730766967316381
random,3,evidential sigma,0.6495732286555709,0.3047171161058239,0.23805058338217489
random,3,extremeness,0.4929752489812402,-0.015240373353644036,-0.008527334195019831
random,3,drug rarity,0.5162494284663369,0.0445909560784042,0.06303571857433465
random,3,cell rarity,0.5077115190494995,0.006558445212752885,-0.000418263269511554
random,3,expression distance,0.5,,0.05351218684781234
random,4,evidential sigma,0.6343235434728423,0.28587401195056805,0.21077216184163516
random,4,extremeness,0.48104342305909004,-0.027338463442795516,0.007563792008963732
random,4,drug rarity,0.5337231762600894,0.07637676120208402,0.062480002549689106
random,4,cell rarity,0.5000409749681816,-0.002592506298450029,0.0006716673022681974
random,4,expression distance,0.5,,0.062282599854056264
cell_blind,0,evidential sigma,0.6395741551530918,0.2991323069531596,0.22872207173380377
cell_blind,0,extremeness,0.4819874678049393,-0.024756909030903548,0.003934972694856542
cell_blind,0,drug rarity,0.5020298486550548,0.006270928270080993,0.005546386978637408
cell_blind,0,cell rarity,0.5,,0.0023039079674803675
cell_blind,0,expression distance,0.4832780067808513,-0.03993057970402256,-0.049146551154108264
cell_blind,1,evidential sigma,0.6331798988416029,0.27693904378328593,0.2168515247044307
cell_blind,1,extremeness,0.4773648534844464,-0.03225392353869169,-0.01991471086116081
cell_blind,1,drug rarity,0.500992431658125,0.0037177979781131965,-0.0008166628292942679
cell_blind,1,cell rarity,0.5,,0.006561981845706777
cell_blind,1,expression distance,0.4927564423842682,-0.020668536850759117,-0.024158863582168788
cell_blind,2,evidential sigma,0.6322493131967564,0.27942301124075025,0.23814093355829558
cell_blind,2,extremeness,0.4747808359490625,-0.04522685155835926,-0.02465773714129016
cell_blind,2,drug rarity,0.49874476250954347,-0.008085227114626628,-0.004725727350712194
cell_blind,2,cell rarity,0.5,,-0.0027163959676232974
cell_blind,2,expression distance,0.48028950078208815,-0.04737310659964465,-0.052042928122723264
cell_blind,3,evidential sigma,0.6461279964243365,0.3050142480350698,0.2623644809073864
cell_blind,3,extremeness,0.49247784401443223,-0.009138048980854008,0.004233793718568912
cell_blind,3,drug rarity,0.5013806685499305,0.008975749052812202,0.0007127699733251447
cell_blind,3,cell rarity,0.5,,-0.016869966439727824
cell_blind,3,expression distance,0.4803096276605173,-0.03970174596837372,-0.04453702550041516
cell_blind,4,evidential sigma,0.6357190016588078,0.2865609399192742,0.24313149644781007
cell_blind,4,extremeness,0.47940948833308417,-0.037079748382078635,-0.029339167648711362
cell_blind,4,drug rarity,0.5073984551314323,0.017190592401538182,0.013178368622659864
cell_blind,4,cell rarity,0.5,,-0.0057510211539886225
