split,seed,coverage,budget,prec_naive,prec_uncertainty,delta,rel_gain
scaffold_blind,1,0.5,500,0.504,0.4,-0.10399999999999998,-0.2063492063492063
scaffold_blind,1,0.5,1000,0.458,0.253,-0.20500000000000002,-0.44759825327510916
scaffold_blind,1,0.7,100,0.57,0.63,0.06000000000000005,0.10526315789473695
scaffold_blind,1,0.7,500,0.504,0.48,-0.02400000000000002,-0.04761904761904766
scaffold_blind,1,0.7,1000,0.458,0.316,-0.14200000000000002,-0.31004366812227074
scaffold_blind,2,0.3,100,0.98,0.98,0.0,0.0
scaffold_blind,2,0.3,500,0.778,0.524,-0.254,-0.3264781491002571
scaffold_blind,2,0.3,1000,0.64,0.501,-0.139,-0.2171875
scaffold_blind,2,0.5,100,0.98,0.98,0.0,0.0
scaffold_blind,2,0.5,500,0.778,0.614,-0.16400000000000003,-0.21079691516709514
scaffold_blind,2,0.5,1000,0.64,0.482,-0.15800000000000003,-0.24687500000000004
scaffold_blind,2,0.7,100,0.98,0.98,0.0,0.0
scaffold_blind,2,0.7,500,0.778,0.688,-0.09000000000000008,-0.11568123393316206
scaffold_blind,2,0.7,1000,0.64,0.489,-0.15100000000000002,-0.23593750000000002
scaffold_blind,3,0.3,100,1.0,1.0,0.0,0.0
scaffold_blind,3,0.3,500,0.84,0.814,-0.026000000000000023,-0.03095238095238098
scaffold_blind,3,0.3,1000,0.646,0.444,-0.202,-0.3126934984520124
scaffold_blind,3,0.5,100,1.0,1.0,0.0,0.0
scaffold_blind,3,0.5,500,0.84,0.73,-0.10999999999999999,-0.13095238095238093
scaffold_blind,3,0.5,1000,0.646,0.568,-0.07800000000000007,-0.12074303405572766
scaffold_blind,3,0.7,100,1.0,1.0,0.0,0.0
scaffold_blind,3,0.7,500,0.84,0.748,-0.09199999999999997,-0.1095238095238095
scaffold_blind,3,0.7,1000,0.646,0.644,-0.0020000000000000018,-0.003095975232198145
scaffold_blind,4,0.3,100,0.99,0.98,-0.010000000000000009,-0.01010101010101011
scaffold_blind,4,0.3,500,0.942,0.662,-0.2799999999999999,-0.2972399150743099
scaffold_blind,4,0.3,1000,0.726,0.49,-0.236,-0.325068870523416
scaffold_blind,4,0.5,100,0.99,0.99,0.0,0.0
scaffold_blind,4,0.5,500,0.942,0.796,-0.1459999999999999,-0.15498938428874726
scaffold_blind,4,0.5,1000,0.726,0.59,-0.136,-0.18732782369146006
scaffold_blind,4,0.7,100,0.99,0.99,0.0,0.0
scaffold_blind,4,0.7,500,0.942,0.938,-0.0040000000000000036,-0.004246284501061575
scaffold_blind,4,0.7,1000,0.726,0.646,-0.07999999999999996,-0.11019283746556469
tissue_blind,0,0.3,100,0.98,0.16,-0.82,-0.836734693877551
tissue_blind,0,0.3,500,0.806,0.034,-0.772,-0.9578163771712158
tissue_blind,0,0.3,1000,0.537,0.017,-0.52,-0.9683426443202979
tissue_blind,0,0.5,100,0.98,0.22,-0.76,-0.7755102040816326
tissue_blind,0,0.5,500,0.806,0.05,-0.756,-0.9379652605459057
tissue_blind,0,0.5,1000,0.537,0.025,-0.512,-0.9534450651769087
tissue_blind,0,0.7,100,0.98,0.86,-0.12,-0.12244897959183673
tissue_blind,0,0.7,500,0.806,0.238,-0.5680000000000001,-0.7047146401985112
tissue_blind,0,0.7,1000,0.537,0.125,-0.41200000000000003,-0.7672253258845437
tissue_blind,1,0.3,100,0.94,0.63,-0.30999999999999994,-0.32978723404255317
tissue_blind,1,0.3,500,0.778,0.128,-0.65,-0.8354755784061697
tissue_blind,1,0.3,1000,0.526,0.064,-0.462,-0.8783269961977186
tissue_blind,1,0.5,100,0.94,0.9,-0.039999999999999925,-0.042553191489361625
tissue_blind,1,0.5,500,0.778,0.268,-0.51,-0.6555269922879178
tissue_blind,1,0.5,1000,0.526,0.137,-0.389,-0.7395437262357414
tissue_blind,1,0.7,100,0.94,0.96,0.020000000000000018,0.02127659574468087
tissue_blind,1,0.7,500,0.778,0.498,-0.28,-0.35989717223650386
tissue_blind,1,0.7,1000,0.526,0.266,-0.26,-0.49429657794676807
tissue_blind,2,0.3,100,0.9,0.61,-0.29000000000000004,-0.32222222222222224
tissue_blind,2,0.3,500,0.796,0.124,-0.672,-0.8442211055276382
