model,split,seed,fold,run_tag,RMSE,MAE,PCC,Spearman,R2,Per-drug PCC,Per-cell PCC,best_val_pcc,best_val_epoch,total_train_sec,n_params,ECE,sel_RMSE@50,sel_RMSE@70,sel_RMSE@90,sel_RMSE@100,epistemic_mean,aleatoric_mean
cdrscan,random,0,0,,1.0006165987671158,0.7516307234764099,0.9358909726142883,0.9007172144343452,0.8712694644927979,0.7452887892723083,0.9164016842842102,0.942574679851532,185,9246.19345331192,10713601,,,,,,,
cdrscan,cell_blind,0,0,,1.2977968179998542,0.9823501110076904,0.889412522315979,0.8422561473656275,0.7890509366989136,0.46105363965034485,0.904898464679718,0.8880754709243774,23,1396.0847375392914,10713601,,,,,,,
cdrscan,cell_blind,1,0,,1.2913334119209525,0.9772976040840149,0.8909788131713867,0.8460359187685167,0.7906656265258789,0.47786709666252136,0.9088401794433594,0.8918547630310059,48,2439.9408009052277,10713601,,,,,,,
cdrscan,cell_blind,2,0,,1.3384613824459763,1.0026392936706543,0.8886708617210388,0.840854901675966,0.7766059637069702,0.4630073010921478,0.9072490334510803,0.8853298425674438,22,1339.5146842002869,10713601,,,,,,,
cdrscan,cell_blind,3,0,,1.2806797154039982,0.9689411520957947,0.8919867277145386,0.8449620843730434,0.7937346696853638,0.47714176774024963,0.9099209904670715,0.8901193141937256,41,2168.000948190689,10713601,,,,,,,
cdrscan,cell_blind,4,0,,1.3002419943420949,0.9907309412956238,0.8909193277359009,0.8401376093360606,0.7874483466148376,0.47443702816963196,0.9056801795959473,0.8902977705001831,39,2087.3187766075134,10713601,,,,,,,
cdrscan,drug_blind,0,0,,2.4445448575444213,1.8296860456466675,0.6367835998535156,0.5363001998743819,0.37031763792037964,0.6748735904693604,0.5782305002212524,0.636725902557373,29,1665.4159936904907,10713601,,,,,,,
cdrscan,drug_blind,1,0,,2.406954773576657,1.7952994108200073,0.6306343078613281,0.5469149499601378,0.3827993869781494,0.663166344165802,0.572144627571106,0.6248304843902588,44,2291.322150707245,10713601,,,,,,,
cdrscan,drug_blind,2,0,,2.4129543291710944,1.8040534257888794,0.6357317566871643,0.5511436509369895,0.3862014412879944,0.6690073013305664,0.5838737487792969,0.6356227993965149,50,2549.233161687851,10713601,,,,,,,
cdrscan,drug_blind,3,0,,2.404583936299119,1.7931368350982666,0.6342544555664062,0.5429144672685442,0.39055943489074707,0.6763084530830383,0.5770933628082275,0.6284925937652588,41,2466.1046073436737,10713601,,,,,,,
cdrscan,drug_blind,4,0,,2.4116783838134648,1.8017829656600952,0.6333856582641602,0.5497525324610536,0.3857598900794983,0.6721092462539673,0.5676456093788147,0.6329776048660278,55,2925.0997519493103,10713601,,,,,,,
cdrscan,random,0,0,,0.9999468610473086,0.7445695400238037,0.9339998364448547,0.8975285066907664,0.8714417219161987,0.7360643744468689,0.9129109978675842,0.9377202987670898,56,2503.4391753673553,10713601,,,,,,,
cdrscan,random,1,0,,1.010110821923131,0.7558731436729431,0.9322936534881592,0.8962251188848485,0.8667635917663574,0.732303261756897,0.9111704230308533,0.940217912197113,56,2488.1005475521088,10713601,,,,,,,
cdrscan,random,2,0,,0.990739261042466,0.7363224029541016,0.9327456951141357,0.8978545746725056,0.8695683479309082,0.7398552298545837,0.9150182604789734,0.9394516348838806,57,2496.972664117813,10713601,,,,,,,
cdrscan,random,3,0,,0.9898264268474773,0.7411540746688843,0.9336857795715332,0.8935481929048039,0.8711034059524536,0.7356119751930237,0.9096937775611877,0.9438462257385254,56,2506.822747707367,10713601,,,,,,,
cdrscan,random,4,0,,0.9897072798086656,0.7479814887046814,0.9325569272041321,0.8953382578281948,0.8684350252151489,0.7392472624778748,0.9142434000968933,0.9402415752410889,55,2592.574256658554,10713601,,,,,,,
cdrscan,scaffold_blind,0,0,,3.0991398263992895,2.434373617172241,0.22820019721984863,0.26915220904743253,-0.013523221015930176,0.658141016960144,0.055664099752902985,0.22050386667251587,1,607.4776740074158,10713601,,,,,,,
cdrscan,scaffold_blind,1,0,,2.5927047461769317,1.9469101428985596,0.40312302112579346,0.31957909898483694,0.08417171239852905,0.6059067845344543,0.22497601807117462,0.39919573068618774,1,598.761864900589,10713601,,,,,,,
cdrscan,scaffold_blind,2,0,,2.8955142350793017,2.1159448623657227,0.2806328535079956,0.3112176305228692,0.06905913352966309,0.5913337469100952,0.09611912816762924,0.284073144197464,1,639.9375677108765,10713601,,,,,,,
cdrscan,scaffold_blind,3,0,,2.6844792799850756,1.9765827655792236,0.4667941927909851,0.3746818679136726,0.20514851808547974,0.6408264636993408,0.3269546329975128,0.47942477464675903,1,629.2048871517181,10713601,,,,,,,
cdrscan,scaffold_blind,4,0,,2.5663912930916424,1.8655455112457275,0.5470608472824097,0.4560173050809135,0.2882404923439026,0.6862537860870361,0.42862167954444885,0.5433380603790283,17,1425.7426133155823,10713601,,,,,,,
cdrscan,tissue_blind,0,0,,1.3876536911394348,1.0586620569229126,0.8698753714561462,0.818692812350746,0.7556132078170776,0.3023412227630615,0.8983849287033081,0.8681297302246094,7,892.0324668884277,10713601,,,,,,,
cdrscan,tissue_blind,1,0,,1.3521780475579643,1.0366435050964355,0.8731976747512817,0.825925004715842,0.758375883102417,0.3686143457889557,0.8998674154281616,0.8744022846221924,25,1751.427217245102,10713601,,,,,,,
cdrscan,tissue_blind,2,0,,1.4260136663095009,1.1051102876663208,0.8704681396484375,0.8239464703737016,0.742373526096344,0.31726184487342834,0.9002143144607544,0.8708207607269287,15,1196.3893678188324,10713601,,,,,,,
cdrscan,tissue_blind,3,0,,1.403010982647174,1.0710645914077759,0.8681566715240479,0.8217443892677013,0.7486580610275269,0.3310495913028717,0.8958390355110168,0.8742663264274597,18,1416.425571680069,10713601,,,,,,,
cdrscan,tissue_blind,4,0,,1.411881635565023,1.0859754085540771,0.8713845014572144,0.8200598238693488,0.7562783360481262,0.31928762793540955,0.8984120488166809,0.8653477430343628,5,677.4193625450134,10713601,,,,,,,
drpreter,random,0,0,,1.0817556202308078,0.8053088784217834,0.9219990372657776,0.8793209276409236,0.8495457172393799,0.6805613040924072,0.8975459337234497,0.920771598815918,142,14164.071529388428,494465,,,,,,,
drpreter,cell_blind,0,0,,1.4344766584952506,1.0798410177230835,0.8692928552627563,0.8167294120326408,0.7422782182693481,0.3555420935153961,0.8887677192687988,0.8669134378433228,2,1435.7389571666718,627073,,,,,,,
